City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.22,clear sky,-9.8,-139.0333,Villa Enata
6,Bengkulu,ID,84.69,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Kapaa,US,75.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Wanning,CN,77.61,few clouds,18.8003,110.3967,Paradise Hotel
21,Souillac,MU,81.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Arraial Do Cabo,BR,75.24,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Trelew,AR,84.4,scattered clouds,-43.249,-65.3051,Hotel Touring Club
31,Mogadishu,SO,75.47,overcast clouds,2.0371,45.3438,Hotel Juba
36,Ocos,GT,79.25,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
39,Rikitea,PF,78.53,overcast clouds,-23.1203,-134.9692,People ThankYou
42,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
55,Hobart,AU,84.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
57,Bodden Town,KY,82.0,clear sky,19.2833,-81.25,Will T Place
58,Busselton,AU,84.04,clear sky,-33.65,115.3333,Observatory Guest House
64,Neiafu,TO,83.25,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
70,Vaini,TO,82.87,scattered clouds,-21.2,-175.2,Keleti Beach Resort
75,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
79,Ewa Beach,US,76.08,broken clouds,21.3156,-158.0072,Uncle Junior Robert
83,Honiara,SB,80.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
93,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Buchanan,LR,77.25,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
95,Butaritari,KI,82.38,clear sky,3.0707,172.7902,Isles Sunset Lodge
100,Galle,LK,80.94,scattered clouds,6.0367,80.217,Amangalla
104,Airai,TL,75.43,broken clouds,-8.9266,125.4092,
106,Bambous Virieux,MU,81.21,few clouds,-20.3428,57.7575,Casa Tia Villa
110,Kawalu,ID,84.06,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
115,Richards Bay,ZA,76.42,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
117,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
122,Bubaque,GW,77.13,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
127,Port Macquarie,AU,81.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
129,Bowen,AU,83.41,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
132,Quatre Cocos,MU,81.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
136,Hambantota,LK,80.94,clear sky,6.1241,81.1185,Bungalow 63
143,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
153,Mount Gambier,AU,77.25,clear sky,-37.8333,140.7667,The Commodore
174,Loandjili,CG,76.28,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
175,Tabuk,PH,82.27,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
178,Faanui,PF,80.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
180,Karratha,AU,89.64,broken clouds,-20.7377,116.8463,ibis Styles Karratha
187,Kokopo,PG,83.55,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
191,Road Town,VG,75.99,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
193,Kulhudhuffushi,MV,79.32,broken clouds,6.6221,73.07,Haajy Guest House 1
202,Kilakarai,IN,81.79,clear sky,9.2333,78.7833,Kilakarai Home Stays
216,Kilindoni,TZ,79.54,overcast clouds,-7.9139,39.6668,Bustani B&B
220,Sambava,MG,75.94,scattered clouds,-14.2667,50.1667,Melrose
221,Sapa,PH,84.15,overcast clouds,5.1544,120.3241,
223,Bandrele,YT,78.55,light rain,-12.9067,45.1914,Les Baobabs
226,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
241,Mackay,AU,83.68,overcast clouds,-21.15,149.2,International Lodge Motel
