City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Trairi,BR,-3.2778,-39.2689,74.62,91,100,5.77,moderate rain
1,Atuona,PF,-9.8,-139.0333,78.22,74,4,16.84,clear sky
2,Porto De Moz,BR,-1.7483,-52.2383,71.46,98,48,2.01,scattered clouds
3,Healdsburg,US,38.6105,-122.8692,53.91,76,1,3.36,clear sky
4,Qaanaaq,GL,77.484,-69.3632,-10.7,71,27,8.86,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,69.42,86,59,14.03,broken clouds
6,Bengkulu,ID,-3.8004,102.2655,84.69,66,87,4.74,overcast clouds
7,Kapaa,US,22.0752,-159.319,75.11,59,7,6.24,clear sky
8,Ribeira Grande,PT,38.5167,-28.7,59.5,73,7,5.35,clear sky
9,Hermanus,ZA,-34.4187,19.2345,63.9,82,22,3.74,few clouds
10,Ancud,CL,-41.8697,-73.8203,57.42,87,0,1.1,clear sky
11,Punta Arenas,CL,-53.15,-70.9167,50.11,87,17,2.93,few clouds
12,Yellowknife,CA,62.456,-114.3525,-3.48,84,100,3.44,light snow
13,Bredasdorp,ZA,-34.5322,20.0403,56.28,84,3,5.01,clear sky
14,Ushuaia,AR,-54.8,-68.3,47.08,92,100,3.2,overcast clouds
15,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.91,91,2,11.05,clear sky
16,Chokurdakh,RU,70.6333,147.9167,-26.72,90,38,8.63,scattered clouds
17,Ostrovnoy,RU,68.0531,39.5131,15.64,92,100,9.75,overcast clouds
18,Ruwi,OM,23.5996,58.5507,71.13,52,0,2.62,clear sky
19,Ntcheu,MW,-14.8203,34.6359,64.44,98,100,1.72,overcast clouds
20,Wanning,CN,18.8003,110.3967,77.61,69,15,8.46,few clouds
21,Souillac,MU,-20.5167,57.5167,81.36,66,3,7.94,clear sky
22,East London,ZA,-33.0153,27.9116,71.58,88,81,13.98,light rain
23,Aranos,NA,-24.1333,19.1167,76.98,43,79,9.55,broken clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,75.24,91,54,16.28,broken clouds
25,Mataura,NZ,-46.1927,168.8643,72.93,26,99,5.73,overcast clouds
26,Baruun-Urt,MN,46.6806,113.2792,3.04,74,3,7.45,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,73.67,83,87,7.31,overcast clouds
28,Vestmanna,FO,62.1564,-7.1664,41.92,87,100,16.11,overcast clouds
29,Barrow,US,71.2906,-156.7887,-25.49,99,55,11.59,broken clouds
30,Trelew,AR,-43.249,-65.3051,84.4,26,30,22.95,scattered clouds
31,Mogadishu,SO,2.0371,45.3438,75.47,80,94,15.35,overcast clouds
32,Albany,US,42.6001,-73.9662,26.8,58,100,3.8,overcast clouds
33,Havelock,US,34.8791,-76.9013,37.92,79,9,5.14,clear sky
34,Novoshakhtinsk,RU,47.7604,39.9334,15.03,100,96,1.41,overcast clouds
35,Salalah,OM,17.0151,54.0924,68.04,67,1,1.95,clear sky
36,Ocos,GT,14.5094,-92.1933,79.25,66,4,2.59,clear sky
37,Jamestown,US,42.097,-79.2353,25.02,67,100,7.0,overcast clouds
38,Katsuura,JP,35.1333,140.3,49.19,93,100,8.52,overcast clouds
39,Rikitea,PF,-23.1203,-134.9692,78.53,74,87,17.27,overcast clouds
40,Bethel,US,41.3712,-73.414,30.56,65,90,5.95,overcast clouds
41,Upernavik,GL,72.7868,-56.1549,1.47,91,100,12.08,overcast clouds
